"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2022"

"Vuosi";"Alue";"Ikä";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2022";"Haapavesi";"1 vuotta";0
"2022";"Haapavesi";"2 vuotta";0
"2022";"Haapavesi";"3 vuotta";0
"2022";"Haapavesi";"4 vuotta";1
"2022";"Haapavesi";"5 vuotta";3
"2022";"Haapavesi";"6 vuotta";2
"2022";"Haapavesi";"7 vuotta ja yli";0
"2022";"Hailuoto";"Yhteensä";0
"2022";"Hailuoto";"0 vuotta";0
"2022";"Hailuoto";"1 vuotta";0
"2022";"Hailuoto";"2 vuotta";0
"2022";"Hailuoto";"3 vuotta";0
"2022";"Hailuoto";"4 vuotta";0
"2022";"Hailuoto";"5 vuotta";0
"2022";"Hailuoto";"6 vuotta";0
"2022";"Hailuoto";"7 vuotta ja yli";0
"2022";"Halsua";"Yhteensä";2
"2022";"Halsua";"0 vuotta";0
"2022";"Halsua";"1 vuotta";0
"2022";"Halsua";"2 vuotta";1
"2022";"Halsua";"3 vuotta";0
"2022";"Halsua";"4 vuotta";1
"2022";"Halsua";"5 vuotta";0
"2022";"Halsua";"6 vuotta";0
"2022";"Halsua";"7 vuotta ja yli";0
"2022";"Hamina";"Yhteensä";44
"2022";"Hamina";"0 vuotta";0
"2022";"Hamina";"1 vuotta";5
"2022";"Hamina";"2 vuotta";6
"2022";"Hamina";"3 vuotta";4
"2022";"Hamina";"4 vuotta";12
"2022";"Hamina";"5 vuotta";9
"2022";"Hamina";"6 vuotta";7
"2022";"Hamina";"7 vuotta ja yli";1
"2022";"Hammarland";"Yhteensä";0
"2022";"Hammarland";"0 vuotta";0
"2022";"Hammarland";"1 vuotta";0
"2022";"Hammarland";"2 vuotta";0
"2022";"Hammarland";"3 vuotta";0
"2022";"Hammarland";"4 vuotta";0
"2022";"Hammarland";"5 vuotta";0
"2022";"Hammarland";"6 vuotta";0
"2022";"Hammarland";"7 vuotta ja yli";0
"2022";"Hankasalmi";"Yhteensä";0
"2022";"Hankasalmi";"0 vuotta";0
"2022";"Hankasalmi";"1 vuotta";0
"2022";"Hankasalmi";"2 vuotta";0
"2022";"Hankasalmi";"3 vuotta";0
"2022";"Hankasalmi";"4 vuotta";0
"2022";"Hankasalmi";"5 vuotta";0
"2022";"Hankasalmi";"6 vuotta";0
"2022";"Hankasalmi";"7 vuotta ja yli";0
"2022";"Hanko";"Yhteensä";12
"2022";"Hanko";"0 vuotta";0
"2022";"Hanko";"1 vuotta";1
"2022";"Hanko";"2 vuotta";0
